user_id,gender,daily_screen_time_hours,addiction_risk_level
7857,Female,6.1,Low
21853,Other,7.61,Low
14938,Male,4.06,Low
13692,Male,8.6,Low
15144,Other,5.95,Low
403,Other,5.43,Low
5790,Female,6.47,Low
24952,Female,7.61,Low
8406,Other,5.72,Low
14172,Female,6.17,Low
11042,Female,6.65,Low
13718,Other,5.64,Low
22734,Female,7.02,Low
9894,Other,7.49,Low
1569,Other,7.68,Low
14909,Female,3.58,Low
14745,Male,5.83,Low
5609,Male,3.91,Low
19427,Other,4.15,Low
5356,Female,6.1,Low
3583,Male,3.12,Low
16462,Male,4.67,Low
3319,Male,7.33,Low
18944,Other,3.95,Low
23567,Other,9.3,Low
10259,Female,4.23,Low
667,Other,9.28,Low
1556,Female,7.76,Low
8870,Male,6.96,Low
1448,Other,6.58,Low
12866,Female,7.91,Low
24926,Male,6.85,Low
3953,Other,3.74,Low
3016,Female,8.11,Low
4356,Female,5.91,Low
7891,Other,2.13,Low
2090,Female,5.07,Low
3891,Male,7.51,Low
5460,Female,3.42,Low
16021,Male,7.1,Low
8931,Female,4.21,Low
12911,Male,4.35,Low
13847,Female,6.7,Low
20219,Female,4.37,Low
23929,Female,3.29,Low
23279,Female,5.05,Low
11241,Other,4.77,Low
10494,Female,4.58,Low
4649,Female,5.73,Low
6175,Male,7.74,Low
8442,Other,6.81,Low
23800,Male,7.65,Low
4357,Other,3.16,Low
13737,Other,6.17,Low
5405,Male,8.18,Low
7767,Female,7.79,Low
14354,Male,6.56,Low
1039,Male,6.51,Low
2669,Other,10.2,Low
20388,Female,4.51,Low
4103,Female,4.95,Low
1701,Female,8.39,Low
8152,Male,5.03,Low
3603,Other,9.18,Low
8566,Male,8.01,Low
16498,Male,4.31,Low
14679,Other,4.0,Low
19240,Female,8.62,Low
12811,Other,6.17,Low
24978,Female,0.55,Low
5052,Other,4.95,Low
8707,Other,8.83,Low
1397,Other,7.16,Low
992,Other,8.55,Low
22001,Other,6.22,Low
9351,Female,6.09,Low
23176,Male,4.07,Low
21197,Male,7.99,Low
23342,Other,6.33,Low
1332,Other,5.94,Low
17104,Male,5.71,Low
7866,Other,7.1,Low
6351,Male,4.92,Low
15090,Male,6.59,Low
21231,Other,6.31,Low
11741,Female,4.7,Low
707,Other,2.53,Low
21731,Female,5.98,Low
3360,Male,2.94,Low
12371,Other,5.08,Low
333,Other,5.2,Low
6724,Other,5.57,Low
16187,Male,2.59,Low
16996,Other,5.61,Low
220,Other,4.21,Low
16667,Other,7.66,Low
10175,Female,8.68,Low
12940,Female,7.16,Low
20063,Other,5.48,Low
17838,Female,7.16,Low
1190,Female,6.5,Low
9983,Female,7.86,Low
9826,Male,6.06,Low
4721,Female,5.08,Low
5193,Female,2.86,Low
4389,Male,2.0,Low
19948,Other,6.86,Low
9095,Other,4.65,Low
13821,Male,3.35,Low
11475,Other,4.32,Low
7318,Female,6.96,Low
11284,Other,7.83,Low
7943,Female,6.14,Low
4368,Female,8.16,Low
11810,Female,8.13,Low
17781,Other,8.2,Low
15498,Other,3.19,Low
21847,Male,5.06,Low
2741,Female,4.64,Low
16384,Female,5.07,Low
15777,Other,6.37,Low
4413,Other,6.0,Low
17842,Other,1.69,Low
8166,Other,4.3,Low
5986,Male,6.77,Low
3321,Other,3.51,Low
21448,Male,5.78,Low
21030,Female,7.9,Low
9874,Female,7.25,Low
3378,Other,6.63,Low
24642,Male,9.95,Low
4589,Other,2.56,Low
14505,Other,7.27,Low
919,Other,6.08,Low
1954,Male,4.95,Low
5832,Male,9.08,Low
22418,Female,5.08,Low
10435,Other,5.33,Low
23874,Male,1.18,Low
18286,Female,7.16,Low
17563,Other,5.66,Low
22585,Female,9.32,Low
17280,Other,7.27,Low
10531,Female,5.74,Low
6194,Male,7.96,Low
21920,Female,2.64,Low
6724,Female,3.72,Low
3267,Male,3.34,Low
12990,Other,9.1,Low
1763,Female,4.4,Low
750,Female,6.01,Low
11200,Female,6.35,Low
511,Male,8.55,Low
7192,Male,10.42,Low
8392,Other,5.78,Low
21218,Female,5.99,Low
9124,Other,6.25,Low
15042,Male,7.38,Low
24038,Other,4.47,Low
11743,Other,6.14,Low
9414,Female,3.95,Low
23118,Male,8.42,Low
1528,Male,6.09,Low
13047,Female,10.51,Low
614,Male,7.15,Low
20867,Male,3.05,Low
24228,Male,5.9,Low
3766,Male,4.46,Low
15850,Other,7.91,Low
9480,Female,6.91,Low
2794,Other,6.79,Low
18223,Male,7.18,Low
23975,Female,4.27,Low
9327,Other,6.22,Low
557,Male,6.83,Low
19142,Female,5.65,Low
13150,Other,7.64,Low
23682,Male,4.13,Low
10145,Male,7.27,Low
8703,Other,7.85,Low
17761,Other,4.57,Low
11791,Other,4.44,Low
21995,Male,5.16,Low
768,Other,3.54,Low
10490,Female,4.1,Low
17467,Other,5.81,Low
15189,Male,5.05,Low
24270,Other,6.38,Low
7618,Male,6.86,Low
6623,Female,4.41,Low
16152,Female,6.27,Low
16993,Other,8.58,Low
20891,Male,4.19,Low
5469,Male,5.78,Low
11601,Other,5.42,Low
691,Male,7.53,Low
7450,Other,4.49,Low
414,Female,6.61,Low
480,Female,8.26,Low
7204,Female,7.12,Low
14293,Female,8.06,Low
24170,Other,7.87,Low
13774,Male,9.34,Low
2404,Female,5.74,Low
2270,Male,5.69,Low
13437,Other,8.37,Low
12356,Male,7.7,Low
14939,Male,5.09,Low
12676,Female,3.27,Low
8726,Female,6.33,Low
22691,Female,2.92,Low
7118,Other,2.76,Low
22106,Female,4.48,Low
10031,Female,3.69,Low
20819,Male,4.51,Low
24143,Female,8.19,Low
18446,Female,7.38,Low
5785,Other,6.01,Low
13420,Female,3.66,Low
20206,Other,6.89,Low
2009,Female,8.5,Low
18227,Female,4.09,Low
23082,Female,8.0,Low
2890,Other,6.22,Low
5908,Female,6.71,Low
5070,Female,1.46,Low
9875,Female,3.42,Low
21039,Other,6.65,Low
1533,Male,5.21,Low
19897,Female,6.03,Low
19928,Other,8.76,Low
18055,Male,5.96,Low
2140,Male,4.28,Low
17853,Female,5.2,Low
9487,Male,7.14,Low
21639,Male,5.47,Low
18699,Other,3.09,Low
5630,Female,6.64,Low
17712,Male,5.59,Low
928,Male,9.26,Low
5894,Male,11.67,Low
23915,Other,6.34,Low
7013,Other,3.42,Low
18969,Other,8.34,Low
19805,Male,4.41,Low
2869,Male,7.2,Low
21368,Male,6.42,Low
24028,Male,3.38,Low
1268,Other,7.73,Low
17704,Male,4.74,Low
18737,Other,6.12,Low
15902,Male,5.31,Low
574,Male,8.25,Low
3002,Other,7.7,Low
13254,Other,4.97,Low
472,Other,6.25,Low
22392,Female,11.32,Low
10802,Female,5.12,Low
23888,Male,7.36,Low
4888,Other,2.28,Low
11040,Other,3.42,Low
24150,Female,7.02,Low
24962,Male,0.5,Low
14074,Other,4.59,Low
2269,Male,3.86,Low
22535,Female,7.27,Low
15565,Male,5.41,Low
23418,Male,4.42,Low
18573,Female,7.38,Low
4756,Female,4.68,Low
1592,Other,8.95,Low
23322,Other,8.22,Low
7719,Female,6.83,Low
13872,Other,8.72,Low
20298,Male,4.05,Low
17889,Female,8.42,Low
452,Male,9.11,Low
19852,Male,6.31,Low
4626,Other,6.92,Low
6183,Male,5.77,Low
22976,Other,8.68,Low
22412,Male,6.87,Low
21135,Female,5.91,Low
13413,Female,8.31,Low
14581,Male,5.0,Low
22007,Female,6.0,Low
23159,Female,5.47,Low
24190,Male,7.01,Low
18120,Male,2.96,Low
10164,Other,6.71,Low
7730,Other,2.9,Low
10766,Female,6.28,Low
24140,Male,6.31,Low
3793,Female,4.24,Low
13714,Other,4.96,Low
5691,Male,8.64,Low
10430,Male,7.38,Low
9964,Male,9.19,Low
3957,Female,9.28,Low
10053,Male,5.07,Low
21914,Male,6.35,Low
12040,Male,4.2,Low
17728,Other,5.19,Low
3759,Male,2.15,Low
376,Other,8.03,Low
8946,Other,3.14,Low
23010,Other,9.51,Low
14003,Female,6.9,Low
6905,Female,3.0,Low
324,Other,8.95,Low
8201,Male,3.27,Low
6111,Female,4.87,Low
11213,Female,6.78,Low
6961,Other,5.54,Low
15011,Female,9.14,Low
6834,Other,6.96,Low
3472,Male,2.74,Low
9790,Other,8.85,Low
3728,Female,2.67,Low
19512,Male,4.08,Low
3894,Female,5.25,Low
18034,Other,6.65,Low
6415,Other,4.77,Low
15332,Other,5.95,Low
19414,Female,5.28,Low
12785,Female,3.02,Low
23359,Female,4.76,Low
9294,Female,6.94,Low
5779,Female,9.94,Low
22966,Male,7.38,Low
18988,Other,6.41,Low
9342,Female,8.22,Low
16398,Female,8.06,Low
10990,Male,5.51,Low
572,Other,3.45,Low
16538,Other,5.57,Low
21345,Other,8.34,Low
344,Other,4.08,Low
15099,Female,5.97,Low
18973,Female,6.65,Low
19354,Other,8.02,Low
1960,Female,7.23,Low
106,Female,6.81,Low
5645,Other,5.67,Low
16311,Other,4.04,Low
6823,Male,8.51,Low
14895,Male,8.39,Low
16270,Other,4.58,Low
9711,Other,4.65,Low
7103,Female,7.36,Low
13457,Other,7.65,Low
11913,Other,5.06,Low
5111,Male,10.11,Low
5995,Male,6.95,Low
18177,Female,2.93,Low
5708,Other,5.98,Low
765,Other,5.74,Low
9830,Other,8.03,Low
20283,Male,7.23,Low
7800,Male,4.66,Low
23811,Female,4.91,Low
13605,Other,6.75,Low
24392,Female,3.17,Low
11896,Female,7.02,Low
22316,Male,5.68,Low
11121,Male,6.84,Low
8681,Male,7.72,Low
20372,Female,4.94,Low
19128,Other,8.77,Low
788,Female,4.62,Low
16297,Female,6.17,Low
10466,Other,3.93,Low
16564,Male,5.22,Low
17706,Other,4.12,Low
17194,Female,6.73,Low
4052,Other,4.21,Low
9589,Female,4.17,Low
24155,Other,3.98,Low
931,Other,8.94,Low
2347,Other,4.97,Low
3004,Other,6.08,Low
14640,Female,3.41,Low
14450,Female,3.42,Low
9510,Female,6.37,Low
7171,Female,4.31,Low
23797,Female,11.05,Low
2553,Male,6.59,Low
3865,Female,5.74,Low
8660,Other,6.73,Low
2970,Other,1.33,Low
2409,Other,8.23,Low
14747,Other,7.39,Low
3116,Female,9.55,Low
3369,Female,4.4,Low
6640,Female,4.67,Low
15684,Male,6.48,Low
10186,Female,6.3,Low
24425,Male,8.51,Low
